Geneid	Fx593-CIM0DP-RNA-R1	Fx593-CIM0DP-RNA-R2	Fx600-CIM0DP-RNA-R1	Fx600-CIM0DP-RNA-R2
XXX1X81001	0	0	7	1
XXX1X81020	0	0	0	1
XXX2X01008	26	42	282	173
XXX2X01010	8	9	23	22
XXX2X01020	105	182	182	113
XXX2X01021	1	1	12	4
XXX2X01023	47	104	29	25
XXX2X01022	1	0	11	6
XXX2X01024	0	0	5	1
XXX2X01026	2	1	9	6
XXX2X01028	1	0	8	2
XXX2X01029	5	216	158	85
XXX2X01031	0	0	0	0
XXX2X01034	0	0	15	5
XXX2X01035	0	0	0	0
XXX2X01045	0	0	0	0
XXX2X01037	1	2	4	3
XXX2X01040	0	0	0	0
XXX2X01050	0	0	0	0
XXX2X03885	0	0	0	0
XXX2X01060	195	520	434	352
XXX2X01070	0	2	2	1
XXX2X01080	0	612	4	1
XXX2X01090	153	114	3	10
XXX2X01100	5690	5651	2937	2989
XXX2X01110	219	650	208	139
XXX2X03895	0	0	0	0
XXX2X01120	43	50	2	211
XXX2X01130	464	696	0	1
XXX2X01140	294	605	1	1
XXX2X01150	37114	50123	8513	7171
XXX2X01160	0	0	0	1
XXX2X01170	0	0	2	117
XXX2X01175	0	226	1	1
XXX2X01180	93	214	2142	3665
XXX2X01190	166	9	99	187
XXX2X01200	1	0	0	0
XXX2X01210	0	0	353	0
XXX2X03905	0	0	0	2
XXX2X01220	1015	1131	1563	1366
XXX2X01240	0	0	2	0
XXX2X01250	5516	7082	248	279
XXX2X01260	0	291	30	508
XXX2X01270	196	394	694	155
XXX2X01275	0	0	2	1
XXX2X01280	1	1	2	4
XXX2X03925	0	0	0	0
XXX2X01290	0	160	0	0
XXX2X01300	6981	12216	3916	5372
XXX2X01310	0	0	0	0
XXX2X01320	0	1	4	440
XXX2X01330	1	104	112	174
XXX2X01340	690	2116	3550	3952
XXX2X01350	273	707	429	565
XXX2X01360	0	0	0	1
XXX2X01370	2	0	2	1
XXX2X01372	0	0	0	0
XXX2X01379	0	0	13	0
XXX2X03945	0	0	0	0
XXX2X01390	0	38	2	2
XXX2X01400	45	0	0	21
XXX2X01410	0	0	0	0
XXX2X03975	0	0	0	0
XXX2X03985	0	1	5	0
XXX2X01420	10	1	4	145
XXX2X01422	0	1	0	0
XXX2X01430	2	126	506	244
XXX2X01440	0	0	2	2
XXX2X03995	0	0	0	0
XXX2X01450	3329	4132	4177	4973
XXX2X01460	0	245	2	0
XXX2X01470	1249	3567	898	690
XXX2X01480	1	119	782	7
XXX2X01490	1580	2361	2422	2665
XXX2X01500	1	1	6	1
XXX2X01505	0	0	2	0
XXX2X01510	3	0	3	1
XXX2X01520	0	0	4	1
XXX2X04005	0	0	1	0
XXX2X01530	0	140	1737	782
XXX2X01540	321	515	228	600
XXX2X01550	0	0	6	1
XXX2X01554	0	0	1	2
XXX2X01560	0	0	2	1
XXX2X01570	693	399	527	7
XXX2X04015	0	0	1	0
XXX2X01580	0	0	0	0
XXX2X01590	1	0	1	170
XXX2X01600	2080	2746	1034	1316
XXX2X01610	0	0	2	0
XXX2X01620	226	0	381	25
XXX2X01630	429	0	8	0
XXX2X04065	20	1	0	1
XXX2X01640	13	114	2	0
XXX2X01650	1192	830	1246	368
XXX2X04075	0	0	0	0
XXX2X04085	0	0	2	0
XXX2X01660	702	641	388	3
XXX2X01667	1	0	0	0
XXX2X01670	258	1301	6766	3348
XXX2X01680	0	346	129	132
XXX2X01690	412	314	4	7
XXX2X01700	0	0	3	2
XXX2X01710	277	331	229	473
XXX2X01720	2018	0	1	0
XXX2X01730	1	0	3	1
XXX2X01735	488	463	4	316
XXX2X01740	1	0	0	0
XXX2X01750	30	1	2	0
XXX2X01755	0	0	0	0
XXX2X01760	2	0	1	1
XXX2X01770	0	0	0	0
XXX2X01780	0	1	2	0
XXX2X04095	0	0	1	1
XXX2X01790	0	2	4	2
XXX2X01800	0	0	3	0
XXX2X01810	0	0	2	4
XXX2X01818	157	564	7	4
XXX2X01820	2	250	28	9
XXX2X01830	1	603	10	6
XXX2X01840	1	0	0	5
XXX2X01850	439	118	704	1153
XXX2X01860	0	2	7	4
XXX2X04125	0	0	0	0
XXX2X01870	0	0	0	0
XXX2X04145	0	0	0	0
XXX2X01880	777	608	303	335
XXX2X01890	162	401	193	2
XXX2X01900	1	2	1	0
XXX2X01905	427	0	2	3
XXX2X01910	1631	278	413	12
XXX2X01913	0	3	1	1
XXX2X01918	2	0	0	0
XXX2X01920	3	0	2	0
XXX2X01930	158	136	13	299
XXX2X01940	0	1	4	0
XXX2X01950	0	0	0	1
XXX2X01960	0	0	2	0
XXX2X01970	659	127	188	0
XXX2X01973	0	0	0	0
XXX2X01980	1	529	9	731
XXX2X01990	0	0	0	0
XXX2X02000	2	0	2	0
XXX2X02010	462	1916	5	1
XXX2X04155	0	0	0	0
XXX2X02020	1	312	0	2
XXX2X02023	0	1	0	0
XXX2X02026	0	1	3	0
XXX2X02030	4	2	11	5
XXX2X04175	1	0	7	3
XXX2X02040	1	205	1	1
XXX2X02050	594	1109	339	425
XXX2X02060	1	0	10	16
XXX2X02061	0	0	0	0
XXX2X02070	0	1	7	5
XXX2X02080	2	0	813	50
XXX2X04185	0	3	4	0
XXX2X02090	0	410	22	159
XXX2X02100	608	230	230	3
XXX2X02103	1	0	4	2
XXX2X02110	0	0	0	2
XXX2X02120	0	0	0	0
XXX2X02130	41	0	1	3
XXX2X04195	0	0	0	1
XXX2X02135	0	0	0	0
XXX2X02140	0	0	0	0
XXX2X02147	0	0	0	0
XXX2X02148	0	386	0	0
XXX2X02150	0	118	0	0
XXX2X02160	186	410	140	207
XXX2X02170	119	0	1	0
XXX2X02180	1032	1361	3656	2824
XXX2X04205	0	0	1	0
XXX2X04215	0	0	0	0
XXX2X02190	0	0	0	0
XXX2X02200	0	0	3	1
XXX2X02205	0	0	1	0
XXX2X02210	0	0	2	1
XXX2X02220	856	1102	1309	2543
XXX2X02230	82	387	417	365
XXX2X02240	0	0	7	1
XXX2X02250	0	0	3	1
XXX2X02260	2	0	4	2
XXX2X02270	0	0	1	1
XXX2X02280	0	1	3	1
XXX2X02290	0	0	2	0
XXX2X02300	0	0	380	0
XXX2X02310	0	1	0	68
XXX2X02320	248	194	0	0
XXX2X02330	0	0	0	0
XXX2X02340	0	92	2	3
XXX2X02350	0	0	62	228
XXX2X02360	474	396	1014	165
XXX2X02370	800	880	1070	568
XXX2X02380	0	0	0	0
XXX2X02390	335	854	618	65
XXX2X02400	97	13	1	0
XXX2X02410	0	0	147	364
XXX2X02430	0	0	1	1
XXX2X02440	0	0	1	0
XXX2X02450	0	1	1	4
XXX2X02455	0	0	0	1
XXX2X02470	339	433	372	100
XXX2X02480	1	20	8	8
XXX2X02490	0	1	3	0
XXX2X02493	0	0	0	0
XXX2X02497	1	0	0	0
XXX2X02498	2	0	1	0
XXX2X02500	0	1	4	3
XXX2X02510	412	533	130	404
XXX2X02515	0	0	3	0
XXX2X02520	0	0	1	2
XXX2X02525	0	0	0	0
XXX2X04225	0	0	1	0
XXX2X02540	0	0	0	0
XXX2X02550	0	0	1	0
XXX2X02560	581	897	12	8
XXX2X02570	395	786	1113	624
XXX2X02580	0	1	2	0
XXX2X02590	0	0	0	2
XXX2X02600	0	0	0	1
XXX2X02610	1	0	1	2
XXX2X02620	1	0	3	2
XXX2X04255	0	0	1	0
XXX2X02630	1	0	0	0
XXX2X02635	0	0	0	0
XXX2X04265	0	0	1	1
XXX2X02640	0	1	0	2
XXX2X02650	0	1	0	0
XXX2X02660	0	0	0	0
XXX2X02670	0	0	0	0
XXX2X02680	0	3	6	1
XXX2X02690	1	1	3	4
XXX2X02695	0	0	1	1
XXX2X02700	0	0	5	0
XXX2X02710	13	78	1315	712
XXX2X02720	0	0	1	0
XXX2X04285	0	0	0	0
XXX2X02730	194	551	2	218
XXX2X02740	0	0	2	3
XXX2X02750	0	0	1	0
XXX2X04295	0	0	0	0
XXX2X02760	3203	3118	4116	2865
XXX2X02765	151	205	325	327
XXX2X02770	0	0	5	1
XXX2X04315	0	0	0	1
XXX2X02780	0	2	4	4
XXX2X02790	15	2	2	7
XXX2X04325	0	0	0	3
XXX2X02800	457	1835	7	691
XXX2X02795	0	0	1	0
XXX2X02810	318	0	6	2
XXX2X02820	3884	3859	2727	18
XXX2X02830	0	0	1	2
XXX2X04335	0	0	0	1
XXX2X04345	0	0	3	0
XXX2X04355	0	0	0	0
XXX2X02835	0	0	4	1
XXX2X02840	1	0	3	2
XXX2X04365	0	0	0	0
XXX2X02850	1	0	1	1
XXX2X02860	604	314	3521	1160
XXX2X02870	728	1655	3749	1514
XXX2X02880	0	68	0	0
XXX2X02890	2	0	1	1
XXX2X02900	0	0	0	0
XXX2X02910	409	0	1	0
XXX2X04375	0	0	0	0
XXX2X04405	0	0	0	0
XXX2X02930	0	2	5	0
XXX2X04435	1	0	0	1
XXX2X04455	0	0	0	0
XXX2X04465	0	0	0	0
XXX2X02950	4	1	459	1
XXX2X02955	8	165	1	146
XXX2X02960	723	3521	3095	2958
XXX2X02970	0	755	6	266
XXX2X02980	0	0	3	0
XXX2X02990	31	197	3739	2949
XXX2X03000	0	2	6	0
XXX2X03010	151	0	4	1
XXX2X03020	0	0	1	9
XXX2X03030	0	0	0	1
XXX2X03040	0	0	7	1
XXX2X03050	4	162	741	98
XXX2X03060	358	0	601	7
XXX2X03070	370	0	2	26
XXX2X03080	0	0	1	3
XXX2X03090	0	0	4	3
XXX2X03100	0	0	0	3
XXX2X03110	0	0	2	1
XXX2X03120	502	1133	608	635
XXX2X03130	0	42	121	14
XXX2X03140	897	0	30	4
XXX2X04485	0	0	0	0
XXX2X03150	1182	1	127	159
XXX2X03160	0	0	0	0
XXX2X03170	0	0	0	0
XXX2X03180	0	0	0	0
XXX2X03190	0	0	1	0
XXX2X03200	3	1	2	1
XXX2X03210	1	0	10	5
XXX2X03220	142	0	21	2
XXX2X03240	387	1450	647	157
XXX2X03230	0	0	0	0
XXX2X04505	0	0	0	0
XXX2X03250	3	0	14	8
XXX2X03260	0	1	9	3
XXX2X03270	16	3	1	3
XXX2X03280	1	0	1	2
XXX2X03290	1	0	2	0
XXX2X03291	0	0	0	3
XXX2X03300	0	0	0	0
XXX2X03310	188	0	2	0
XXX2X03320	0	0	0	1
XXX2X03330	2	0	0	21
XXX2X03340	1127	1	343	325
XXX2X03350	0	1	3	137
XXX2X03360	0	1	3	6
XXX2X03370	0	0	2	0
XXX2X03380	0	0	3	3
XXX2X03390	269	399	241	610
XXX2X03420	0	0	0	0
XXX2X03410	0	0	0	0
XXX2X03430	308	241	1	0
XXX2X03440	0	0	0	149
XXX2X03450	0	0	2	657
XXX2X03460	0	0	3	51
XXX2X04525	0	0	0	1
XXX2X03470	852	1	330	281
XXX2X03480	0	0	3	1
XXX2X03490	0	0	0	0
XXX2X03500	0	0	4	2
XXX2X03505	0	0	4	2
XXX2X03510	7	0	641	1
XXX2X03520	2	0	7	7
XXX2X03530	2	2	11	6
XXX2X03540	0	0	1	0
XXX2X03550	0	0	2	0
XXX2X03560	0	0	1	0
XXX2X03565	0	0	0	0
XXX2X03567	0	0	0	0
XXX2X03570	0	0	0	0
XXX2X03580	0	0	3	0
XXX2X03590	0	0	2	0
XXX2X03600	0	0	1	2
XXX2X03610	0	0	0	0
XXX2X03620	45	149	638	86
XXX2X04535	0	0	0	0
XXX2X03630	0	0	0	0
XXX2X03640	466	0	117	154
XXX2X03650	0	0	0	0
XXX2X03660	0	0	0	0
XXX2X03667	2	0	0	1
XXX2X03670	0	0	2	2
XXX2X03680	131	1	146	0
XXX2X04545	0	0	0	0
XXX2X03690	542	1282	787	371
XXX2X04555	0	0	26	1
XXX2X03700	0	0	0	0
XXX2X03710	0	0	0	1
XXX2X03720	0	0	0	0
XXX2X04565	0	0	0	0
XXX2X04575	0	0	0	0
XXX2X03730	1913	2704	2734	662
XXX2X03740	0	4	0	2
XXX2X03750	0	1	2	3
XXX2X03760	0	0	0	0
XXX2X03770	0	0	0	0
XXX2X03780	213	0	1	0
XXX2X03790	0	0	0	0
XXX2X03800	435	1001	936	627
XXX2X03810	1253	838	539	363
XXX2X03820	2290	2943	5	505
XXX2X03821	0	0	0	1
XXX2X03823	0	0	0	0
XXX2X03822	0	0	0	0
XXX2X03830	2408	2773	1	1
XXX2X03840	5	0	2	1
XXX2X03850	0	237	1	0
XXX2X03860	0	0	0	0
XXX2X03870	695	331	1	87
XXX2X03880	0	0	1	2
XXX2X03890	0	39	0	30
XXX2X04595	0	0	0	0
XXX2X03900	0	1	1	0
XXX2X03910	4	0	9	4
XXX2X03913	2	0	5	3
XXX2X03915	1	0	9	7
XXX2X03920	0	0	5	5
XXX2X03930	0	0	0	0
XXX2X03932	0	0	0	0
XXX2X03931	0	0	0	0
XXX2X03933	0	0	0	0
XXX2X04605	0	0	0	1
XXX2X03934	0	0	0	0
XXX2X03936	0	0	0	0
XXX2X03937	0	0	0	0
XXX2X03935	0	2	8	3
XXX2X03940	0	0	4	5
XXX2X03950	0	0	0	2
XXX2X04615	0	0	0	2
XXX2X04635	0	0	0	0
XXX2X03955	1	0	6	1
XXX2X03958	1	0	5	1
XXX2X03960	0	0	1	0
XXX2X04645	0	0	0	0
XXX2X03965	0	0	0	0
XXX2X04655	0	0	0	0
XXX2X03970	0	0	0	0
XXX2X03972	0	0	0	1
XXX2X03980	0	0	3	0
XXX2X03990	1	1	8	3
XXX2X04000	0	1	1	3
XXX2X04010	0	0	0	0
XXX2X04020	0	0	0	0
XXX2X04025	0	0	2	1
XXX2X04030	243	486	198	145
XXX2X04665	0	0	0	0
XXX2X04685	0	0	0	0
XXX2X04032	1	1	7	1
XXX2X04033	0	0	1	1
XXX2X04035	0	0	1	1
XXX2X04034	0	0	0	0
XXX2X04042	0	0	0	0
XXX2X04031	0	2	0	0
XXX2X04037	0	0	0	0
XXX2X04041	0	0	4	0
XXX2X04695	0	0	1	0
XXX2X04043	0	0	2	0
XXX2X04045	0	2	1	0
XXX2X04046	1	0	1	0
XXX2X04047	0	0	1	2
XXX2X04705	1	0	0	2
XXX2X04036	3	0	2	1
XXX2X04038	0	0	0	0
XXX2X04137	0	0	0	0
XXX2X04039	0	0	0	177
XXX2X04040	0	0	485	882
XXX2X04050	1	0	0	1
XXX2X04060	0	3	3	0
XXX2X04062	0	0	0	3
XXX2X04063	2	0	1	2
XXX2X04066	0	0	0	1
XXX2X04070	0	0	1	3
XXX2X04080	0	2	3	5
XXX2X04090	0	1	317	0
XXX2X04715	0	0	1	0
XXX2X04100	1	1	6	204
XXX2X04110	0	0	1058	1451
XXX2X04115	1	0	0	1
XXX2X04120	0	0	1	0
XXX2X04130	0	0	2	2
XXX2X04135	0	0	93	0
XXX2X04140	0	0	2	0
XXX2X04150	2	0	3	2
XXX2X04160	3	2	4	6
XXX2X04725	1	0	2	0
XXX2X04170	2	0	4	1
XXX2X04735	0	0	0	2
XXX2X04180	1	0	2	1
XXX2X04190	2	0	3	4
XXX2X04200	1	0	3	1
XXX2X04210	0	0	3	2
XXX2X04745	0	0	0	1
XXX2X04220	1	0	2	0
XXX2X04230	1	3	20	7
XXX2X04235	60	0	26	0
XXX2X04240	0	0	0	0
XXX2X04250	1	0	0	1
XXX2X04260	0	0	2	0
XXX2X04270	3	0	49	10
XXX2X04280	2	0	0	0
XXX2X04755	0	0	0	0
XXX2X04765	0	0	2	0
XXX2X04290	0	2	2	6
XXX2X04300	0	1	10	2
XXX2X04305	520	364	44	477
XXX2X04310	0	0	4	0
XXX2X04320	0	0	2	2
XXX2X04330	0	1	9	4
XXX2X04340	76	178	1	0
XXX2X04350	649	4139	654	193
XXX2X04360	293	286	405	576
XXX2X04378	447	420	274	232
XXX2X04380	0	0	0	0
XXX2X04390	451	388	27	2
XXX2X04395	0	1	1	3
XXX2X04400	1	515	469	62
XXX2X04410	377	690	137	186
XXX2X04420	0	0	0	1
XXX2X04425	0	0	0	0
XXX2X04430	88	1	7	464
XXX2X04440	0	2	4	8
XXX2X04450	0	0	1	1
XXX2X04460	0	0	2	0
XXX2X04470	0	0	1	3
XXX2X04480	0	0	0	0
XXX2X04490	0	0	7	7
XXX2X04495	0	0	4	296
XXX2X04500	2	0	5	280
XXX2X04510	3	0	1	3
XXX2X04515	358	56	3	3
XXX2X04520	4899	5315	3064	4913
XXX2X04530	136	236	5	0
XXX2X04540	1	520	7	1
XXX2X04550	651	423	0	561
XXX2X04560	0	1	512	2
XXX2X04570	0	0	1	0
XXX2X04580	1	1	3	0
XXX2X04775	0	0	2	0
XXX2X04785	0	0	0	0
XXX2X04805	0	0	0	65
XXX2X04590	0	0	1	0
XXX2X04600	0	1	3	2
XXX2X04610	0	0	2	3
XXX2X04620	0	3	2	0
XXX2X04621	0	0	0	0
XXX2X04622	0	0	0	0
XXX2X04625	0	0	0	1
XXX2X04630	234	708	570	2
XXX2X04650	0	0	0	1
XXX2X04660	1	0	9	2
XXX2X04670	2	1	3	1
XXX2X04675	0	0	0	0
XXX2X04680	0	0	1	0
XXX2X04690	386	335	1174	975
XXX2X04700	371	534	585	365
XXX2X04710	1	0	2	0
XXX2X04720	1	0	11	3
XXX2X04730	0	0	0	0
XXX2X04740	3	653	2	1
XXX2X04750	2	0	7	2
XXX2X04760	0	1	5	2
XXX2X04770	0	0	0	0
XXX2X04780	411	0	0	16
XXX2X04790	0	0	1	0
XXX2X04795	553	662	0	2
XXX2X04800	550	1042	293	2
XXX2X04810	0	1	1	1
XXX2X04820	0	0	2	6
XXX2X04830	0	0	0	1
XXX2X04815	0	0	2	0
XXX2X04840	0	0	1	0
XXX2X04842	3	229	390	15
XXX2X04845	493	70	4	3
XXX2X04850	1	0	327	2
XXX2X04852	0	0	0	0
XXX2X04860	0	0	6	0
XXX2X04865	1	0	342	4
XXX2X04870	0	0	0	0
XXX2X04880	40	352	0	0
XXX2X04890	0	0	12	2
XXX2X04900	525	946	1284	640
XXX2X04910	0	0	0	0
XXX2X04920	0	0	1	1
XXX2X04925	0	2	0	0
XXX2X04930	0	0	0	0
XXX2X04940	0	1	9	2
XXX2X04950	0	0	1	0
XXX2X04970	0	0	0	0
XXX2X04980	0	0	4	2
XXX2X04990	1	1	2	0
XXX2X05000	0	0	1	0
XXX2X05010	0	0	4	4
XXX2X04835	0	0	0	0
XXX2X04825	0	0	0	0
XXX2X05020	0	1	3	3
XXX2X05025	0	0	2	3
XXX2X05030	0	0	1	0
XXX2X05040	1	1	3	4
XXX2X05050	1	0	1	0
XXX2X05060	0	1	3	1
XXX2X05070	0	1	1	0
XXX2X05080	1	0	1	4
XXX2X05082	0	1	2	1
XXX2X05084	4	4	14	14
XXX2X05087	1	0	4	7
XXX2X05090	0	0	3	3
XXX2X05100	0	0	2	696
XXX2X05110	3	4	16	6
XXX2X05115	2	0	2	0
XXX2X05105	0	0	1	0
XXX2X04855	0	0	0	0
XXX2X05117	0	0	1	1
XXX2X04875	0	0	1	0
XXX2X05120	2	1	18	11
XXX2X05130	0	0	3	0
XXX2X05133	0	0	0	3
XXX2X05140	0	0	1	0
XXX2X05150	0	0	1	2
XXX2X05160	0	0	2	0
XXX2X05170	0	0	6	170
XXX2X05171	0	0	2	1
XXX2X05180	1	3	5	1
XXX2X05185	0	54	3	5
XXX2X05190	0	0	0	0
XXX2X05200	1	0	1	3
XXX2X05210	0	1	2	4
XXX2X05220	59	185	1	0
XXX2X05230	0	0	1	0
XXX2X05240	0	1	9	5
XXX2X05250	0	0	0	1
XXX2X05260	452	374	1433	288
XXX2X05270	0	0	1	2
XXX2X05280	0	0	10	1
XXX2X05290	0	0	5	3
XXX2X04885	1	0	2	2
XXX2X05294	0	0	0	0
XXX2X05300	2	1	8	4
XXX2X05310	0	0	191	108
XXX2X05320	0	0	2	2
XXX2X05330	0	0	0	0
XXX2X05335	0	0	0	0
XXX2X04895	0	0	0	0
XXX2X05340	1	0	0	0
XXX2X05350	0	2	6	2
XXX2X05360	0	0	3	0
XXX2X05370	0	0	3	0
XXX2X05380	1	0	685	1902
XXX2X05390	0	2	14	1
XXX2X05400	0	0	1	0
XXX2X05410	0	0	2	1
XXX2X05420	0	0	0	0
XXX2X05430	0	1	1	0
XXX2X05435	0	0	2	0
XXX2X05440	0	0	0	2
XXX2X05441	0	1	1	1
XXX2X05450	0	0	2	1
XXX2X05460	1	0	0	0
XXX2X05470	0	0	1	3
XXX2X05475	0	0	0	3
XXX2X05480	0	0	2	3
XXX2X05490	0	0	0	3
XXX2X04905	0	0	0	0
XXX2X05510	0	0	0	0
XXX2X05518	122	0	0	190
XXX2X05520	2	205	0	25
XXX2X05530	0	0	2	2
XXX2X05540	0	0	447	6
XXX2X05550	1	0	8	5
XXX2X05560	0	0	9	9
XXX2X05562	0	0	0	0
XXX2X05564	0	0	2	0
XXX2X05567	0	0	2	0
XXX2X05570	0	0	6	0
XXX2X05580	1	0	0	0
XXX2X04915	0	0	0	0
XXX2X05590	0	38	1	11
XXX2X05600	0	0	2	1
XXX2X05610	0	1	3	2
XXX2X05620	0	0	243	181
XXX2X05630	0	303	681	227
XXX2X05632	0	0	2	0
XXX2X05635	1	3	6	2
XXX2X05640	0	5	6	8
XXX2X05642	0	0	2	0
XXX2X05645	0	0	0	0
XXX2X05647	0	0	0	0
XXX2X05660	2	1	16	10
XXX2X05670	0	0	2	2
XXX2X05655	1	0	5	5
XXX2X04945	2	2	3	4
XXX2X05680	0	1	5	8
XXX2X05690	0	1	5	4
XXX2X05700	1	0	3	2
XXX2X05710	233	1796	3	228
XXX2X05715	0	0	0	0
XXX2X05720	0	1	0	0
XXX2X05730	0	0	0	0
XXX2X05740	0	0	0	0
XXX2X05750	1	0	0	4
XXX2X05752	0	0	4	0
XXX2X05755	2	189	8	0
XXX2X05753	0	0	0	0
XXX2X05760	0	1	4	0
XXX2X05765	0	0	0	0
XXX2X04955	0	0	0	0
XXX2X04965	0	0	0	1
XXX2X05770	0	0	3	0
XXX2X04975	0	2	0	2
XXX2X04985	0	0	0	0
XXX2X04995	0	0	0	0
XXX2X05780	0	0	3	1
XXX2X05786	0	0	0	0
XXX2X05790	120	0	2	3
XXX2X05800	0	3	10	5
XXX2X05801	0	0	0	0
XXX2X05005	0	0	0	0
XXX2X05810	0	0	0	0
XXX2X05812	0	0	2	0
XXX2X05820	1	1	0	0
XXX2X05830	10	288	1	0
XXX2X05840	75	152	3	98
XXX2X05845	0	0	3	0
XXX2X05850	0	0	3	1
XXX2X05860	0	0	0	0
XXX2X05870	0	0	0	1
XXX2X05880	0	0	4	0
XXX2X05890	1	0	4	1
XXX2X05900	0	1	2	3
XXX2X05910	0	0	2	0
XXX2X05914	0	0	1	0
XXX2X05915	0	0	0	0
XXX2X05920	306	500	0	1
XXX2X05930	0	0	2	5
XXX2X05935	4	0	10	5
XXX2X05940	36065	51707	149046	107918
XXX2X05950	1	0	0	0
XXX2X05960	5	1	17	7
XXX2X05970	0	1	5	1
XXX2X05980	0	1	2	1
XXX2X05985	2	0	3	3
XXX2X05990	254	233	118	1
XXX2X05995	0	0	2	0
XXX2X06000	36	388	2	1
XXX2X06002	0	0	0	0
XXX2X06005	223	0	2	0
XXX2X06010	736	995	690	677
XXX2X06020	0	0	0	0
XXX2X06025	1093	924	3334	1277
XXX2X06040	877	1	5	29
XXX2X06045	68	2	204	85
XXX2X06050	3936	6710	4932	10893
XXX2X06060	0	0	2	0
XXX2X06070	1	0	1	0
XXX2X06080	1	2	4	1
XXX2X06090	0	0	1	0
XXX2X06095	0	0	1	1
XXX2X06100	0	0	4	7
XXX2X06110	3	2	14	5
XXX2X06120	0	0	0	1
XXX2X06125	0	0	1	1
XXX2X06130	0	0	0	2
XXX2X06140	1	0	1	0
XXX2X06105	0	0	2	1
XXX2X06150	2	0	2	0
XXX2X06160	0	1	4	0
XXX2X06165	0	0	0	0
XXX2X06166	0	0	1	1
XXX2X06170	0	0	12	8
XXX2X06180	0	0	2	1
XXX2X06190	0	0	4	1
XXX2X06200	0	1	9	3
XXX2X06210	55	14	10	12
XXX2X06220	0	0	8	1
XXX2X06230	0	1	0	0
XXX2X06235	0	0	1	1
XXX2X06240	0	0	3	0
XXX2X06245	0	0	1	0
XXX2X06250	0	0	0	0
XXX2X06255	0	135	0	81
XXX2X06260	0	0	0	0
XXX2X06270	0	0	0	0
XXX2X06280	1	1	4	5
XXX2X06285	2	0	3	4
XXX2X06290	5	3	17	10
XXX2X06296	0	0	0	3
XXX2X06303	0	0	1	0
XXX2X06310	3	3	10	8
XXX2X06330	0	1	7	1
XXX2X06335	0	0	1	2
XXX2X06340	0	1	0	0
XXX2X06350	1	1	3	1
XXX2X06370	0	0	0	2
XXX2X06380	0	0	0	0
XXX2X06390	0	0	4	0
XXX2X06400	0	2	5	11
XXX2X06265	0	0	0	0
XXX2X06410	0	0	1	2
XXX2X06420	3	1	0	1
XXX2X06430	0	3	7	4
XXX2X06440	0	0	1	0
XXX2X06450	0	0	0	0
XXX2X06460	1	0	3	2
XXX2X06470	1	1	12	8
XXX2X06480	0	0	0	1
XXX2X06425	0	0	0	1
XXX2X06490	0	1	0	3
XXX2X06500	2	0	7	1
XXX2X06510	11	0	2	318
XXX2X06520	9	17	1	1991
XXX2X06530	1344	3345	959	2935
XXX2X06540	0	0	3	1
XXX2X06541	1	0	2	0
XXX2X06550	0	0	2	2
XXX2X06555	0	0	2	0
XXX2X06560	2	0	2	2
XXX2X06562	0	0	1	0
XXX2X06565	0	0	5	2
XXX2X06570	0	0	1	1
XXX2X06580	1	0	1	0
XXX2X06590	0	0	1	1
XXX2X06600	0	1	5	3
XXX2X06610	0	0	0	0
XXX2X06620	0	0	0	0
XXX2X06630	0	0	2	5
XXX2X06640	0	0	2	2
XXX2X06645	0	2	0	3
XXX2X06650	0	0	1	1
XXX2X06660	0	0	0	0
XXX2X06667	0	0	0	0
XXX2X06670	0	0	0	0
XXX2X06680	0	0	0	1
XXX2X06690	0	0	1	0
XXX2X06700	0	0	2	0
XXX2X06710	3	3	6	1
XXX2X06715	0	0	1	0
XXX2X06720	0	1	6	0
XXX2X06740	1	0	4	3
XXX2X06750	0	0	2	0
XXX2X06760	3	0	5	3
XXX2X06770	0	0	2	3
XXX2X06675	3	1	0	0
XXX2X06775	0	1	1	0
XXX2X06780	1	0	4	0
XXX2X06790	0	0	2	1
XXX2X06800	0	0	1	3
XXX2X06810	0	0	1	0
XXX2X06820	0	0	0	1
XXX2X06822	0	3	0	0
XXX2X06830	0	2	17	8
XXX2X06840	1	0	8	7
XXX2X05015	0	0	0	0
XXX2X06845	0	0	1	1
XXX2X06850	102	189	1	842
XXX2X06860	1	4	2	7
XXX2X06870	1	1	4	10
XXX2X06875	0	2	2	1
XXX2X06880	0	0	0	0
XXX2X06885	0	0	1	1
XXX2X06890	2	0	10	6
XXX2X06900	0	1	0	3
XXX2X06902	0	1	1	1
XXX2X06904	0	0	1	1
XXX2X06906	0	0	0	0
XXX2X06908	0	0	0	0
XXX2X06910	0	2	1	0
XXX2X06912	0	0	0	0
XXX2X06914	0	0	2	0
XXX2X06917	0	0	0	0
XXX2X06920	0	0	12	8
XXX2X06922	0	0	3	0
XXX2X06925	0	0	0	0
XXX2X06930	0	0	2	8
XXX2X06940	0	0	1	0
XXX2X05035	0	0	0	1
XXX2X05045	0	0	0	0
XXX2X06950	2	2	16	4
XXX2X06960	0	0	0	0
XXX2X06965	0	0	1	1
XXX2X06967	0	3	12	10
XXX2X06973	0	0	0	0
XXX2X06980	1	1	8	6
XXX2X06983	0	0	0	0
XXX2X05065	1	0	0	1
XXX2X06985	0	0	2	1
XXX2X06990	0	4	105	6
XXX2X07000	0	0	1	0
XXX2X07010	0	1	8	1
XXX2X07020	0	1	8	2
XXX2X07030	1	0	7	3
