Geneid	Fx593-CIM0DP-RNA-R1	Fx593-CIM0DP-RNA-R2	Fx600-CIM0DP-RNA-R1	Fx600-CIM0DP-RNA-R2
XXX1X02510	0	0	4	1
XXX1X02520	39	639	3	3
XXX1X02530	2	1	5	3
XXX1X02540	0	0	3	0
XXX1X02550	2	0	0	0
XXX1X02560	184	0	0	320
XXX1X02570	0	0	1	0
XXX1X02575	1	0	0	3
XXX1X02580	0	0	110	48
XXX1X04127	0	0	0	0
XXX1X02590	0	0	0	0
XXX1X02600	0	0	0	0
XXX1X02610	393	569	992	807
XXX1X02620	0	0	0	1
XXX1X04133	0	0	0	0
XXX1X04137	0	0	0	0
XXX1X02630	1	3	2	1
XXX1X02640	49	0	4	0
XXX1X02650	0	0	0	0
XXX1X02660	1691	930	4795	1819
XXX1X02670	3	87	1	2
XXX1X02680	23	107	389	65
XXX1X02681	0	0	0	62
XXX1X04143	0	0	0	0
XXX1X02690	0	1006	5	0
XXX1X02700	204	586	2	2
XXX1X02705	0	0	1	0
XXX1X02710	0	0	0	0
XXX1X02720	0	4	2	2
XXX1X02730	1	0	7	2
XXX1X02740	135	1	2	1
XXX1X02750	439	3	519	55
XXX1X02760	0	0	0	0
XXX1X02770	0	31	0	0
XXX1X02780	3535	3434	0	368
XXX1X02790	0	0	0	0
XXX1X02800	0	0	0	1
XXX1X02810	1	0	4	0
XXX1X02813	0	0	0	0
XXX1X02816	537	254	1016	696
XXX1X02820	1	0	7	1
XXX1X02830	0	0	0	5
XXX1X02840	326	475	1533	362
XXX1X02850	0	446	86	83
XXX1X02860	3155	3499	2162	1615
XXX1X04147	81	89	40	27
XXX1X02870	133	376	0	0
XXX1X04153	0	0	0	0
XXX1X02880	905	2641	2709	3706
XXX1X02890	15	1	3	8
XXX1X02900	591	682	0	1
XXX1X02910	717	208	4	1477
XXX1X02920	1200	188	15964	8597
XXX1X02930	1795	837	5643	4135
XXX1X02940	0	0	0	0
XXX1X02950	0	1	0	0
XXX1X02952	0	0	0	0
XXX1X02960	88	570	784	250
XXX1X02965	0	0	0	1
XXX1X02970	0	0	2	1
XXX1X02980	7	1032	0	2
XXX1X02990	5	497	5	4
XXX1X03000	1	111	12	6
XXX1X03010	0	0	1	1
XXX1X03020	0	0	0	0
XXX1X03030	319	475	922	241
XXX1X03040	1011	1407	3	194
XXX1X03050	1	0	2	0
XXX1X03055	0	0	2	1
XXX1X03060	276	485	35	93
XXX1X03070	15053	14935	5126	4597
XXX1X03080	1928	1184	539	466
XXX1X03090	48	0	1572	243
XXX1X04157	0	0	0	0
XXX1X03100	2	0	142	1
XXX1X04163	0	0	0	0
XXX1X03103	0	0	58	0
XXX1X03106	0	0	4	140
XXX1X03110	0	711	2	2
XXX1X03120	0	0	3	4
XXX1X03130	0	1	1	1733
XXX1X03140	378	0	3	218
XXX1X03150	1416	353	6	105
XXX1X04167	0	0	1	1
XXX1X03160	490	519	152	15
XXX1X03165	0	0	0	9
XXX1X04173	0	0	0	9
XXX1X03170	0	1	1	98
XXX1X03180	446	763	2	0
XXX1X03190	51	0	4	4
XXX1X04177	0	0	0	0
XXX1X03200	104	34	2	0
XXX1X03210	609	27	27	313
XXX1X03220	2381	4247	5206	4182
XXX1X03230	176	251	0	0
XXX1X03240	0	0	2	0
XXX1X03250	715	476	412	414
XXX1X03260	126	477	337	420
XXX1X03270	1	1	1	3
XXX1X03280	2	120	71	86
XXX1X03290	88	215	164	194
XXX1X03300	0	0	0	0
XXX1X03310	3	1	3	5
XXX1X03320	0	1	2	1
XXX1X03325	0	0	0	0
XXX1X03330	459	323	6	67
XXX1X03340	0	0	6	1
XXX1X03350	201	0	334	2
XXX1X03360	261	407	1	1
XXX1X03365	216	391	7	19
XXX1X03370	674	877	367	1429
XXX1X03380	300	1	422	205
XXX1X03390	0	0	0	0
XXX1X03395	0	0	0	0
XXX1X03400	110	1	4	0
XXX1X03410	0	0	2	2
XXX1X04183	0	0	1	0
XXX1X03420	0	0	0	0
XXX1X03430	17	391	167	1
XXX1X03440	3	0	0	0
XXX1X03445	0	0	3	4
XXX1X03457	1358	1570	585	549
XXX1X03470	23	0	0	0
XXX1X03475	26	46	0	308
XXX1X03490	0	0	0	1
XXX1X03495	0	1	0	0
XXX1X04187	1	0	0	0
XXX1X04193	0	0	0	0
XXX1X03502	0	0	0	0
XXX1X03506	0	0	0	0
XXX1X04197	0	0	0	0
XXX1X03510	0	1	3	2
XXX1X03515	0	0	0	0
XXX1X03520	1	0	4	107
XXX1X03530	582	1	0	0
XXX1X03540	0	0	4	7
XXX1X03550	0	0	1	40
XXX1X03545	0	0	0	7
XXX1X03560	377	1	1	2
XXX1X03570	0	0	0	0
XXX1X03580	0	0	0	1
XXX1X03590	260	1008	447	720
XXX1X03600	1	1	0	188
XXX1X03610	52	9	638	902
XXX1X03620	4	3	10	3
XXX1X03630	0	380	1	5
XXX1X03640	0	0	0	0
XXX1X03650	0	0	205	0
XXX1X03660	99	1	0	0
XXX1X04203	0	0	0	0
XXX1X03670	0	0	3	0
XXX1X03680	26	163	1	434
XXX1X03687	1	128	6	6
XXX1X03700	0	0	3	3
XXX1X03710	0	0	0	0
XXX1X03720	0	1	3	1
XXX1X04207	0	0	0	0
XXX1X03730	1085	495	263	1277
XXX1X03740	1166	830	1059	1485
XXX1X04213	0	0	0	0
XXX1X03743	0	0	0	0
XXX1X03746	0	2	0	0
XXX1X03750	1	0	1	1
XXX1X03760	222	350	194	1
XXX1X03770	367	682	5	40
XXX1X03780	1	2	2	4
XXX1X03790	511	0	489	12
XXX1X03800	0	0	2	0
XXX1X03810	0	0	3	1
XXX1X03820	327	360	4	3
XXX1X03830	5	5	17	5
XXX1X03840	0	0	0	1
XXX1X03850	235	154	6	359
XXX1X03860	713	514	0	352
XXX1X03870	13	0	0	1
XXX1X03880	1	0	4	4
XXX1X03890	0	0	0	0
XXX1X03900	882	366	330	134
XXX1X03905	657	1306	3	828
XXX1X03910	778	382	303	162
XXX1X03920	131	202	36	235
XXX1X03930	554	630	1	0
XXX1X04217	22	61	0	42
XXX1X03935	2	20	0	5
XXX1X04223	0	0	0	0
XXX1X03940	0	92	2	5
XXX1X04227	0	0	0	0
XXX1X03950	1	232	10	156
XXX1X03960	2	0	6	3
XXX1X03970	613	645	5	32
XXX1X04233	0	0	0	0
XXX1X03980	0	1	6	6
XXX1X03982	1	3	0	0
XXX1X03990	101	87	4	2
XXX1X04000	174	135	84	5
XXX1X04010	2	35	5	3
XXX1X04020	11	0	3	4
XXX1X04030	320	0	2	3
XXX1X04040	61	129	0	1
XXX1X04237	0	0	0	0
XXX1X04050	1	62	4	3
XXX1X04070	0	90	219	16
XXX1X04080	135	272	606	1286
XXX1X04090	0	0	3	0
XXX1X04100	128	570	603	2
XXX1X04105	0	0	0	0
XXX1X04110	0	1	7	2
XXX1X04120	18	986	10	364
XXX1X04243	1	0	0	0
XXX1X04130	327	653	0	1
XXX1X04140	397	1378	6	135
XXX1X04150	0	3	15	0
XXX1X04160	1	97	5	3
XXX1X04170	931	1313	172	401
XXX1X04180	322	0	0	0
XXX1X04190	873	1105	14	12
XXX1X04200	513	708	4	7
XXX1X04210	1780	701	279	46
XXX1X04220	0	0	0	0
XXX1X04247	0	0	0	0
XXX1X04230	2	0	32	42
XXX1X04240	146	0	0	94
XXX1X04253	0	0	0	0
XXX1X04250	2012	1433	0	157
XXX1X04260	469	294	1	34
XXX1X04270	499	734	111	72
XXX1X04280	0	0	345	148
XXX1X04290	24	1	0	29
XXX1X04295	0	0	0	0
XXX1X04300	1188	441	1524	240
XXX1X04310	0	0	5	2
XXX1X04320	0	0	0	0
XXX1X04330	0	0	0	0
XXX1X04340	627	177	467	286
XXX1X04350	0	0	0	0
XXX1X04360	0	0	0	0
XXX1X04370	0	0	0	2
XXX1X04380	1	0	0	449
XXX1X04257	0	0	0	0
XXX1X04390	0	5	186	7
XXX1X04400	684	86	1	637
XXX1X04410	854	490	1669	1201
XXX1X04420	680	2	508	2118
XXX1X04425	0	0	1	1
XXX1X04430	2	96	2	2
XXX1X04440	1563	398	1073	600
XXX1X04445	0	0	37	1
XXX1X04450	0	0	0	0
XXX1X04455	0	0	0	0
XXX1X04457	0	0	0	0
XXX1X04470	0	0	10	1
XXX1X04263	0	0	0	1
XXX1X04480	435	942	226	0
XXX1X04267	0	0	0	0
XXX1X04273	0	0	0	0
XXX1X04277	1	0	0	1
XXX1X04490	0	417	6	2
XXX1X04500	0	0	3	4
XXX1X04510	91	97	7	4
XXX1X04520	1	2	6	3
XXX1X04530	214	570	431	768
XXX1X04540	23	4	9	4
XXX1X04550	336	1	2	0
XXX1X04555	1	5	15	0
XXX1X04560	0	0	3	0
XXX1X04570	1345	1376	1338	395
XXX1X04580	4	1	5	1
XXX1X04590	2	0	2	496
XXX1X04600	0	0	1	6
XXX1X04610	0	0	5	2
XXX1X04620	2	1	10	3
XXX1X04625	0	0	0	0
XXX1X04630	139	373	2	119
XXX1X04635	0	0	0	0
XXX1X04640	0	201	0	2
XXX1X04645	0	0	2	0
XXX1X04650	63	0	1	0
XXX1X04283	0	0	0	0
XXX1X04660	0	1	2	0
XXX1X04670	1	2	4	1
XXX1X04680	231	279	5	4
XXX1X04690	482	452	668	1
XXX1X04700	0	20	6	9
XXX1X04710	0	213	4	2
XXX1X04720	0	0	0	0
XXX1X04730	3	3	481	10
XXX1X04750	581	1012	286	8
XXX1X04287	1	1	0	0
XXX1X04760	150	60	0	0
XXX1X04770	1645	3002	681	767
XXX1X04778	0	160	0	4
XXX1X04780	424	372	24	182
XXX1X04790	132	77	3	3
XXX1X04800	0	0	0	0
XXX1X04810	599	93	10	9
XXX1X04820	1197	784	107	213
XXX1X04830	380	336	925	335
XXX1X04840	0	1	5	2
XXX1X04850	291	691	9	300
XXX1X04860	1	2	11	10
XXX1X04870	345	2087	694	5
XXX1X04880	0	0	1	1
XXX1X04890	1	0	0	1
XXX1X04293	0	0	0	0
XXX1X04895	0	0	1	0
XXX1X04900	0	0	8	6
XXX1X04297	0	0	0	1
XXX1X04910	3	38	189	414
XXX1X04303	0	0	0	0
XXX1X04920	2	0	5	5
XXX1X04930	218	0	4	3
XXX1X04945	1	0	3	5
XXX1X04940	53	24	0	16
XXX1X04950	542	928	16	9
XXX1X04960	5549	7895	5939	5813
XXX1X04970	869	1302	2026	624
XXX1X04980	119	1	3	6
XXX1X04985	9	647	5	883
XXX1X04990	0	0	406	928
XXX1X05000	0	0	1	0
XXX1X05005	0	0	0	0
XXX1X04307	0	0	0	0
XXX1X05010	6	11	11	17
XXX1X05020	1	2	3	3
XXX1X05030	0	0	13	0
XXX1X04313	0	0	0	0
XXX1X05035	1	0	0	0
XXX1X04323	0	0	1	0
XXX1X05040	0	0	0	0
XXX1X05055	1	1	1	0
XXX1X05060	445	145	311	550
XXX1X05061	0	1	1	1
XXX1X05065	1	0	0	0
XXX1X05070	0	405	6	151
XXX1X05080	0	0	1	0
XXX1X05085	0	0	3	0
XXX1X04327	0	0	0	0
XXX1X04333	0	0	0	0
XXX1X05087	0	76	1	1
XXX1X05090	0	38	0	0
XXX1X05100	7259	13934	12512	16118
XXX1X05120	937	732	8	329
XXX1X05135	0	0	1	29
XXX1X05136	0	0	0	0
XXX1X05140	0	0	228	5
XXX1X05150	121	0	2	0
XXX1X05160	188	390	339	105
XXX1X05170	944	895	1619	870
XXX1X04337	1	0	3	3
XXX1X05180	693	362	447	842
XXX1X05190	203	196	537	784
XXX1X05200	543	6	7	334
XXX1X04343	0	0	0	0
XXX1X05205	105	1	45	36
XXX1X04347	0	0	0	0
XXX1X05210	0	0	2	0
XXX1X05220	1	0	1	0
XXX1X04353	0	0	0	0
XXX1X05230	1	3	14	4
XXX1X05240	1	0	7	3
XXX1X04357	0	0	0	0
XXX1X04363	0	0	0	0
XXX1X04367	0	0	1	0
XXX1X05250	0	0	4	0
XXX1X05260	0	0	2	4
XXX1X05270	59	0	136	148
XXX1X05280	0	1	0	2
XXX1X04373	0	0	1	0
XXX1X05290	0	0	2	0
XXX1X05291	0	0	0	2
XXX1X04377	0	0	0	0
XXX1X04383	1	0	0	0
XXX1X04387	0	0	2	0
XXX1X05300	0	187	1	0
XXX1X05310	2	0	5	6
XXX1X05320	2	0	2	84
XXX1X05330	680	1	638	227
XXX1X05340	41172	49059	108668	67374
XXX1X05350	1091	728	617	73
XXX1X05360	4	90	372	161
XXX1X05370	0	0	1	0
XXX1X05380	1	710	73	243
XXX1X05385	261	13	24	63
XXX1X05390	0	0	0	0
XXX1X05400	179	419	0	0
XXX1X05410	630	522	9	3
XXX1X05420	0	0	0	1
XXX1X05430	507	133	0	0
XXX1X05440	0	2	0	0
XXX1X05450	0	0	0	2
XXX1X05460	0	0	4	3
XXX1X05470	7	3	29	18
XXX1X05490	0	0	5	0
XXX1X05500	730	1344	20	372
XXX1X05510	0	1	2	95
XXX1X05520	0	0	156	1
XXX1X05530	0	1	1	0
XXX1X05540	0	0	2	3
XXX1X05550	2	0	6	3
XXX1X05562	0	0	0	0
XXX1X05560	0	0	0	0
XXX1X05570	510	534	423	10
XXX1X04397	0	0	0	81
XXX1X05575	76	755	2690	1824
XXX1X05577	351	125	3	9
XXX1X05580	1	4	4	3
XXX1X05590	2	0	4	0
XXX1X05600	20	0	4	0
XXX1X05610	0	0	5	5
XXX1X05615	0	2	3	0
XXX1X05620	486	527	3	212
XXX1X05630	71	518	9	124
XXX1X05640	0	7	36	626
XXX1X05650	0	0	0	1
XXX1X04403	0	0	0	0
XXX1X05660	1	1	0	2
XXX1X05670	2	337	8	5
XXX1X05675	134	1	3179	3204
XXX1X05680	0	0	0	2593
XXX1X05690	380	70	6	2
XXX1X05700	1	0	0	0
XXX1X04407	0	0	0	0
XXX1X05710	98	128	1622	555
XXX1X05720	0	130	6	0
XXX1X04413	0	0	0	0
XXX1X05730	10	15	5	0
XXX1X04417	0	0	1	1
XXX1X05740	7	0	0	1
XXX1X05750	1	16	6	2
XXX1X05760	0	0	0	0
XXX1X05770	0	0	0	147
XXX1X05780	0	6	0	181
XXX1X05783	3	0	0	66
XXX1X04427	0	0	0	24
XXX1X05785	220	944	503	10
XXX1X05790	201	2	221	2
XXX1X05800	0	0	1	0
XXX1X05805	35	0	649	16
XXX1X05810	353	319	0	0
XXX1X05820	1	43	1	3
XXX1X05830	336	133	15	732
XXX1X05835	0	31	1	0
XXX1X04433	0	0	0	0
XXX1X05840	285	158	3	0
XXX1X04437	0	0	0	0
XXX1X05850	624	3	435	39
XXX1X05860	144	0	2	1
XXX1X05870	534	0	3	127
XXX1X05880	0	0	1	0
XXX1X05890	984	434	1166	756
XXX1X05894	118	1	189	0
XXX1X05900	330	0	1	270
XXX1X05910	364	862	16	412
XXX1X05920	2	0	3	0
XXX1X05930	0	0	0	0
XXX1X05940	0	3	2	1
XXX1X05950	0	393	6	1
XXX1X05960	971	426	4	44
XXX1X05970	0	365	1	218
XXX1X05980	0	0	0	0
XXX1X05990	0	0	0	0
XXX1X06002	0	0	0	0
XXX1X06000	0	0	0	0
XXX1X06010	0	4	0	0
XXX1X06020	0	0	0	2
XXX1X06030	0	405	0	1
XXX1X06040	468	332	703	525
XXX1X06045	0	0	0	0
